Input_0:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 27, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 27, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 28, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 28, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 28, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 28, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 29, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 29, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 29, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 29, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 30, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 30, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 30, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 30, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 31, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 31, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 31, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 31, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 32, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 32, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 32, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 32, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 33, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 33, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 33, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 33, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 34, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 34, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 34, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 34, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 35, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 35, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 35, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 35, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 36, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 36, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 36, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 36, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 37, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 37, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 37, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 37, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 38, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 38, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 38, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 38, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 39, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 39, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 39, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 39, segmentId: 0, fractionAlong: 0.5]
